name,price,category,image_file,description,compatibleModels,tags,stock
Cáp sạc Baseus Cafule USB to Lightning 2.4A bọc dù siêu bền,95000,Cáp sạc,capsac12.jpg,"Dây bọc dù chống đứt gãy khi sử dụng lâu dài. Hỗ trợ sạc nhanh 2.4A ổn định. Thiết kế chống rối tiện lợi. Phù hợp người dùng cần độ bền cao.baseus, cap-sac, ben-bi, boc-du, sac-nhanh","iPhone 7, iPhone 8, iPhone X, iPhone 11","baseus, cap-sac, ben-bi, boc-du, sac-nhanh",180
Ốp lưng ESR Clear Case chống sốc trong suốt cho iPhone 14 Pro,210000,Ốp lưng,oplung11.jpg,"Thiết kế trong suốt giúp giữ nguyên vẻ đẹp máy. Chất liệu TPU dẻo chống va đập hiệu quả. Viền nâng cao bảo vệ camera và màn hình. Phù hợp người dùng thích đơn giản, tinh tế.",iPhone 14 Pro,"esr, op-lung, trong-suot, chong-soc, bao-ve",140
Ốp lưng Spigen Rugged Armor ACS05912 chống sốc cho Samsung S24,290000,Ốp lưng,oplung21.jpg,"Thiết kế carbon mạnh mẽ, chống sốc hiệu quả. Viền cao bảo vệ màn hình và camera. Cầm chắc tay, chống trơn trượt. Phù hợp người dùng cần độ bền cao.",Samsung Galaxy S24,"spigen, op-lung, chong-soc, ben-bi, bao-ve",78
Cáp sạc Anker PowerLine III USB-C to USB-C 60W siêu bền,220000,Cáp sạc,capsac22.jpg,Dây cáp siêu bền chịu uốn cong nhiều lần. Hỗ trợ sạc nhanh 60W ổn định. Truyền dữ liệu nhanh chóng. Phù hợp cho laptop và điện thoại.,"Samsung, iPad, MacBook","anker, cap-sac, usbc, ben-bi, sac-nhanh",132
Củ sạc Ugreen Nexode 30W GaN sạc nhanh đa thiết bị,340000,Củ sạc,cusac23.jpg,Công nghệ GaN hiện đại giúp sạc nhanh và an toàn. Thiết kế nhỏ gọn tiện mang theo. Tương thích nhiều thiết bị. Phù hợp dân văn phòng.,"iPhone, Samsung, iPad","ugreen, cu-sac, gan, sac-nhanh, da-nang",66
Tai nghe Bluetooth Sony WF-C500 âm thanh sống động,1250000,Tai nghe,tainghe24.jpg,"Âm thanh Sony chất lượng cao, chi tiết rõ nét. Kết nối ổn định, pin lâu dài. Thiết kế gọn nhẹ, đeo thoải mái. Phù hợp nghe nhạc hàng ngày.","Android, iPhone","sony, tai-nghe, bluetooth, am-thanh, giai-tri",42
Cáp sạc Baseus Superior USB to Type-C 3A giá rẻ,80000,Cáp sạc,capsac25.jpg,"Hỗ trợ sạc nhanh 3A ổn định. Thiết kế đơn giản, bền bỉ. Phù hợp sử dụng hàng ngày. Giá thành hợp lý cho mọi người dùng.","Samsung, Xiaomi, Oppo","baseus, cap-sac, typec, sac-nhanh, gia-re",190
Ốp lưng Ringke Onyx chống trượt chống sốc cho iPhone 13,240000,Ốp lưng,oplung26.jpg,"Bề mặt nhám chống trượt hiệu quả. Chống sốc tốt khi va chạm. Thiết kế gọn nhẹ, ôm sát máy. Phù hợp người dùng năng động.",iPhone 13,"ringke, op-lung, chong-truot, chong-soc, bao-ve",102
Sạc dự phòng Baseus Amblight 30000mAh đa cổng sạc nhanh,720000,Sạc dự phòng,sacduphong27.jpg,Dung lượng lớn 30000mAh cho nhiều thiết bị. Hỗ trợ nhiều cổng sạc tiện lợi. Sạc nhanh ổn định. Phù hợp đi du lịch dài ngày.,"iPhone, Samsung, Laptop","baseus, sac-du-phong, dung-luong-cao, sac-nhanh, du-lich",38
Kính cường lực Spigen Glas.tR EZ Fit chống vỡ cho iPhone 15,260000,Kính cường lực,kinhcuongluc28.jpg,"Dễ dàng dán với khay hỗ trợ đi kèm. Chống trầy xước và va đập tốt. Độ trong suốt cao, cảm ứng mượt. Bảo vệ màn hình tối ưu.",iPhone 15,"spigen, kinh-cuong-luc, chong-vo, de-dan, bao-ve",145
Giá đỡ điện thoại Ugreen LP373 gập gọn tiện lợi,170000,Phụ kiện,giado29.jpg,"Thiết kế gập gọn tiện lợi mang theo. Chất liệu chắc chắn, chống trượt tốt. Điều chỉnh góc nhìn linh hoạt. Phù hợp học tập và làm việc.","iPhone, Samsung, Xiaomi","ugreen, gia-do, gap-gon, tien-loi, lam-viec",88
Tai nghe Samsung Galaxy Buds FE chống ồn chủ động,1650000,Tai nghe,giado29.jpg,"Trang bị chống ồn chủ động ANC hiện đại. Âm thanh rõ ràng, bass tốt. Kết nối ổn định với thiết bị Samsung. Phù hợp làm việc và giải trí.","Samsung, Android","samsung, tai-nghe, anc, bluetooth, giai-tri",54
Ốp lưng ESR Air Armor chống sốc viền nhám cho iPhone 15,230000,Ốp lưng,op31.jpg,"Thiết kế viền nhám chống trượt, cầm chắc tay. Chống sốc hiệu quả với đệm khí góc. Mặt lưng trong suốt chống ố vàng. Phù hợp sử dụng hàng ngày.",iPhone 15,"esr, op-lung, chong-soc, chong-truot, bao-ve",97
Cáp sạc Ugreen USB-A to Lightning 2.4A bền bỉ,110000,Cáp sạc,capsac32.jpg,"Hỗ trợ sạc ổn định cho thiết bị Apple. Lõi dây chắc chắn, chống đứt gãy. Tốc độ truyền dữ liệu tốt. Phù hợp sử dụng lâu dài.","iPhone 8, iPhone X, iPhone 11, iPhone 12","ugreen, cap-sac, lightning, ben-bi, hang-ngay",168
Củ sạc Baseus Compact Quick Charger 25W nhỏ gọn,260000,Củ sạc,cusac33.jpg,"Thiết kế nhỏ gọn, dễ mang theo. Hỗ trợ sạc nhanh 25W cho smartphone. Công nghệ bảo vệ an toàn. Phù hợp người di chuyển nhiều.","Samsung, iPhone, Xiaomi","baseus, cu-sac, sac-nhanh, nho-gon, di-dong",84
Tai nghe Bluetooth Anker Soundcore R50i pin lâu,520000,Tai nghe,tainghe34.jpg,"Âm thanh cân bằng, rõ nét. Thời lượng pin dài cho cả ngày sử dụng. Kết nối nhanh và ổn định. Phù hợp học tập và giải trí.","Android, iPhone","anker, tai-nghe, bluetooth, pin-lau, giai-tri",73
Sạc dự phòng Xiaomi Mi Power Bank 3 10000mAh sạc nhanh,320000,Sạc dự phòng,sdp35.jpg,"Dung lượng 10000mAh nhỏ gọn tiện mang theo. Hỗ trợ sạc nhanh hai chiều. Thiết kế tối giản, chắc chắn. Phù hợp sử dụng hàng ngày","iPhone, Samsung, Xiaomi","xiaomi, sac-du-phong, nho-gon, sac-nhanh, hang-ngay",126
Kính cường lực Nillkin Amazing H+ Pro chống chói cho iPhone 12,140000,Kính cường lực,kkl36.jpg,Công nghệ chống chói giúp nhìn rõ ngoài trời. Chống trầy xước và va đập tốt. Độ nhạy cảm ứng cao. Bảo vệ màn hình hiệu quả.,iPhone 12,"nillkin, kinh-cuong-luc, chong-choi, bao-ve, trong-suot",175
Giá đỡ điện thoại Remax RM-C26 kẹp bàn chắc chắn,190000,Phụ kiện,gddt37.jpg,"Kẹp bàn chắc chắn, không rung lắc. Dễ điều chỉnh góc nhìn linh hoạt. Phù hợp livestream và học online. Thiết kế bền bỉ.","iPhone, Samsung, Xiaomi","remax, gia-do, kep-ban, livestream, lam-viec",59
Tai nghe Apple AirPods Pro 2 chống ồn chủ động ANC,5900000,Tai nghe,tn37.jpg,"Trang bị chống ồn chủ động ANC cao cấp. Âm thanh sống động, chi tiết. Kết nối nhanh với hệ sinh thái Apple. Phù hợp làm việc và giải trí.","iPhone, iPad","apple, tai-nghe, anc, bluetooth, cao-cap",25
Cáp sạc Samsung USB-C to USB-C 25W chính hãng,170000,Cáp sạc,cs38.jpg,"Hỗ trợ sạc nhanh 25W cho thiết bị Samsung. Truyền dữ liệu ổn định. Thiết kế bền bỉ, chống rối. Phù hợp người dùng Android.","Samsung Galaxy S20, S21, S22","samsung, cap-sac, usbc, sac-nhanh, chinh-hang",143
Ốp lưng Spigen Thin Fit siêu mỏng cho iPhone 14 Pro Max,270000,Ốp lưng,op39.jpg,"Thiết kế siêu mỏng, nhẹ, ôm sát máy. Bề mặt nhám chống bám vân tay. Bảo vệ cơ bản khỏi trầy xước. Phù hợp người thích gọn nhẹ.",iPhone 14 Pro Max,"spigen, op-lung, sieu-mong, nhe, bao-ve",88
Ốp lưng Spigen Ultra Hybrid chống sốc trong suốt cho iPhone 13,310000,Ốp lưng,oplung.jpg,"Mặt lưng trong suốt kết hợp viền chống sốc. Bảo vệ toàn diện khỏi va đập. Thiết kế đẹp, bền bỉ. Phù hợp người dùng năng động.",iPhone 13,"spigen, op-lung, trong-suot, chong-soc, bao-ve",120
Ốp lưng Nillkin Super Frosted Shield chống trượt cho Samsung S22,180000,Ốp lưng,op.jpg,Bề mặt nhám chống trượt hiệu quả. Chống trầy xước tốt. Thiết kế gọn nhẹ. Phù hợp sử dụng hàng ngày.,Samsung Galaxy S22,"nillkin, op-lung, chong-truot, nhe, bao-ve",85
Ốp lưng Ringke Fusion X chống sốc cho iPhone 12,240000,Ốp lưng,opp.jpg,"Viền màu cá tính, chống sốc mạnh. Mặt lưng trong suốt. Bảo vệ máy an toàn. Phù hợp người trẻ.",iPhone 12,"ringke, op-lung, chong-soc, ca-tinh, bao-ve",95
Cáp sạc Anker PowerLine II USB-C to Lightning 18W,190000,Cáp sạc,cs.jpg,"Hỗ trợ sạc nhanh 18W cho iPhone. Độ bền cao, chống gãy. Truyền dữ liệu ổn định. Phù hợp dùng hàng ngày.","iPhone 8, iPhone X, iPhone 11","anker, cap-sac, lightning, sac-nhanh, ben-bi",140
Cáp sạc Baseus Dynamic USB-C to USB-C 100W,230000,Cáp sạc,cap.jpg,Hỗ trợ sạc nhanh 100W cho laptop. Tốc độ truyền cao. Thiết kế chắc chắn. Phù hợp dân công nghệ.,"MacBook, Samsung","baseus, cap-sac, 100w, sac-nhanh, cong-nghe",110
Cáp sạc Ugreen Lightning MFi 2.4A chính hãng,150000,Cáp sạc,sac.jpg,"Chứng nhận MFi đảm bảo tương thích Apple. Sạc ổn định, an toàn. Dây bền bỉ. Phù hợp iPhone.","iPhone 7, iPhone 8, iPhone X","ugreen, cap-sac, mfi, lightning, chinh-hang",160
Củ sạc Anker Nano II 45W GaN nhỏ gọn,480000,Củ sạc,cu.jpg,"Công nghệ GaN hiện đại, sạc nhanh. Nhỏ gọn dễ mang theo. Tương thích nhiều thiết bị. Phù hợp dân văn phòng.","iPhone, MacBook Air","anker, cu-sac, gan, sac-nhanh, nho-gon",70
Củ sạc Baseus GaN3 Pro 100W đa cổng,890000,Củ sạc,cusac.jpg,Sạc nhanh 100W cho nhiều thiết bị. Trang bị nhiều cổng tiện lợi. An toàn khi sử dụng. Phù hợp công việc.,"Laptop, iPhone","baseus, cu-sac, gan, 100w, da-nang",50
Củ sạc Ugreen 20W PD hỗ trợ iPhone,210000,Củ sạc,cusacc.jpg,Hỗ trợ sạc nhanh PD 20W. Thiết kế nhỏ gọn. An toàn cho pin. Phù hợp sử dụng hàng ngày.,"iPhone 12, iPhone 13","ugreen, cu-sac, pd, sac-nhanh, hang-ngay",130
Tai nghe Bluetooth Xiaomi Redmi Buds 4 Lite,420000,Tai nghe,tainghe.jpg,"Âm thanh rõ ràng, pin lâu. Kết nối nhanh. Thiết kế gọn nhẹ. Phù hợp học tập.","Android, iPhone","xiaomi, tai-nghe, bluetooth, pin-lau, giai-tri",150
Tai nghe Bluetooth Baseus Bowie E3 chống ồn,650000,Tai nghe,besua.jpg,Chống ồn ENC hiệu quả. Âm thanh tốt. Thiết kế hiện đại. Phù hợp làm việc.,"Android, iPhone","baseus, tai-nghe, bluetooth, chong-on, lam-viec",75
Tai nghe Sony WH-CH520 on-ear pin lâu,990000,Tai nghe,sony.jpg,Thiết kế on-ear thoải mái. Pin dùng lâu. Âm thanh rõ nét. Phù hợp nghe nhạc.,"Android, iPhone","sony, tai-nghe, bluetooth, pin-lau, giai-tri",60
Sạc dự phòng Anker PowerCore 20000mAh PD,790000,Sạc dự phòng,sdp.jpg,Dung lượng lớn 20000mAh. Hỗ trợ sạc nhanh PD. Thiết kế chắc chắn. Phù hợp du lịch.,"iPhone, Samsung","anker, sac-du-phong, dung-luong-cao, sac-nhanh, du-lich",55
Sạc dự phòng Baseus Mini JA 30000mAh,680000,Sạc dự phòng,duphong.jpg,"Dung lượng lớn, nhiều cổng. Sạc nhanh ổn định. Thiết kế tiện lợi. Phù hợp công tác.","iPhone, Samsung","baseus, sac-du-phong, 30000mah, sac-nhanh, di-dong",65
Sạc dự phòng Ugreen 10000mAh PD 20W,350000,Sạc dự phòng,sacduphonge.jpg,"Nhỏ gọn, tiện mang theo. Hỗ trợ PD 20W. Sạc nhanh ổn định. Phù hợp hàng ngày.","iPhone, Samsung","ugreen, sac-du-phong, nho-gon, sac-nhanh, hang-ngay",120
Kính cường lực ESR Armorite chống vỡ cho iPhone 13,180000,Kính cường lực,kinh.jpg,Chống vỡ hiệu quả khi rơi. Độ trong suốt cao. Cảm ứng mượt. Bảo vệ màn hình.,iPhone 13,"esr, kinh-cuong-luc, chong-vo, bao-ve, trong-suot",170
Kính cường lực Baseus 0.3mm chống trầy cho Samsung S21,120000,Kính cường lực,samsung.jpg,Độ mỏng 0.3mm nhạy cảm ứng. Chống trầy tốt. Dễ dán. Hiển thị rõ nét.,Samsung Galaxy S21,"baseus, kinh-cuong-luc, mong, chong-tray, bao-ve",180
Kính cường lực Nillkin XD CP+ chống xước cho Xiaomi 12,150000,Kính cường lực,xiaomi.jpg,Chống xước hiệu quả. Độ bền cao. Dễ lắp đặt. Bảo vệ tối ưu.,Xiaomi 12,"nillkin, kinh-cuong-luc, chong-xuoc, bao-ve, ben-bi",140
Giá đỡ điện thoại Ugreen LP115 gập gọn,130000,Phụ kiện,gia.jpg,Gập gọn tiện lợi. Chắc chắn khi sử dụng. Điều chỉnh linh hoạt. Phù hợp học tập.,"iPhone, Android","ugreen, gia-do, gap-gon, tien-loi, hoc-tap",110
Giá đỡ điện thoại Baseus Cube Gravity gắn xe,200000,Phụ kiện,oto.jpg,Tự động kẹp khi đặt máy. Chắc chắn khi di chuyển. Dễ lắp đặt. Phù hợp lái xe.,"Iphone, Android","baseus, gia-do, xe-hoi, tu-dong, dan-duong",95
Giá đỡ điện thoại Remax RM-C08 để bàn,120000,Phụ kiện,dt.jpg,Thiết kế để bàn tiện lợi. Chống trượt tốt. Góc nhìn linh hoạt. Phù hợp làm việc.,"iPhone, Android","remax, gia-do, de-ban, lam-viec, tien-loi",130
Tai nghe Apple AirPods 3 sạc Lightning,4200000,Tai nghe,tai.jpg,"Thiết kế mới, âm thanh tốt. Kết nối nhanh. Pin ổn định. Phù hợp iPhone.","iPhone, iPad","apple, tai-nghe, bluetooth, chinh-hang, cao-cap",35
Tai nghe Samsung AKG Type-C có dây,290000,Tai nghe,day.jpg,Âm thanh chuẩn AKG. Kết nối Type-C tiện lợi. Thiết kế gọn nhẹ. Phù hợp Android.,"Samsung, Android","samsung, tai-nghe, typec, am-thanh, gia-re",100
Cáp sạc Remax RC-150 USB to Type-C 3A,90000,Cáp sạc,capp.jpg,Sạc nhanh 3A ổn định. Thiết kế bền bỉ. Giá hợp lý. Phù hợp hàng ngày.,Android,"remax, cap-sac, typec, sac-nhanh, gia-re",170
Củ sạc Samsung 25W Super Fast Charging,300000,Củ sạc,cusacj.jpg,Sạc nhanh 25W chính hãng. An toàn cho thiết bị. Nhỏ gọn. Phù hợp Samsung.,"Samsung Galaxy S21, S22","samsung, cu-sac, sac-nhanh, chinh-hang, android",85
Ốp lưng ESR Kickstand có chân chống cho iPhone 14,260000,Ốp lưng,opl.jpg,Tích hợp chân chống tiện lợi. Chống sốc tốt. Thiết kế hiện đại. Phù hợp xem phim.,iPhone 14,"esr, op-lung, kickstand, chong-soc, giai-tri",90
Ốp lưng Nillkin CamShield Pro cho Samsung S23 Ultra,220000,Ốp lưng,ni.jpg,Bảo vệ camera trượt tiện lợi. Chống sốc tốt. Cầm chắc tay. Phù hợp người dùng cao cấp.,Samsung Galaxy S23 Ultra,"nillkin, op-lung, bao-ve-camera, chong-soc, cao-cap",80
Sạc dự phòng Xiaomi Redmi 10000mAh giá rẻ,250000,Sạc dự phòng,xiaomii.jpg,Dung lượng 10000mAh tiện dụng. Sạc ổn định. Thiết kế đơn giản. Phù hợp người dùng phổ thông.,"Android, iPhone","xiaomi, sac-du-phong, gia-re, hang-ngay, tien-loi",150
Tai nghe Bluetooth SoundPEATS Free2 Classic,480000,Tai nghe,sound.jpg,Dung lượng 10000mAh tiện dụng. Sạc ổn định. Thiết kế đơn giản. Phù hợp người dùng phổ thông.,"Adroid, iPhone","soundpeats, tai-nghe, bluetooth, gia-re, giai-tri",90
Củ sạc Anker 735 GaNPrime 65W cao cấp,950000,Củ sạc,sacc.jpg,Công nghệ GaNPrime hiện đại. Sạc nhanh nhiều thiết bị. An toàn cao. Phù hợp công việc.,"Laptop, iPhone","anker, cu-sac, gan, cao-cap, da-nang",40
